ID,plant,17/06/2022,20/06/2022,23/06/2022,30/06/2022,07/07/2022,15/07/2022,20/07/2022,01/08/2022,11/08/2022,24/08/2022,30/08/2022,07/09/2022,16/09/2022,21/09/2022,28/09/2022,03/10/2022,12/10/2022
1,,45.75,55.22,48.11,53.02,65.76,62.19,63.66,66.5,70.59,74.35,76.72,75.33,80.11,80.45,82.62,83.2,
2,,42.57,49.39,45.2,49.28,56.55,57.48,58.39,59.82,63.3,65.85,65.84,73.84,79.26,78.36,79.86,80.03,82.01
3,,48.28,47.45,50.89,54.55,57.66,61.24,64.21,66.18,67.16,72.62,74.74,74.69,78.06,78.2,80,80.26,80.95
4,,44.62,46.14,47.18,50.56,55.08,57.11,59.25,59.99,62.62,71.19,73.51,73.2,77.47,78.99,79.46,80.1,82.14
5,,46.29,45.7,52.87,54.9,53.76,59.01,62.83,66.51,66.07,69.71,76.56,75.27,76.05,77.67,80.09,80.63,82.49
6,,43.72,48.39,45.45,48.94,56,57.64,58.59,61.71,64.49,66.52,71.53,71.86,76.18,75.63,76.44,77.53,79.26
7,1,39.6,49.53,42.12,45.84,58.99,53.74,55.88,60.25,64.1,68.86,70.91,73.33,75.04,75.95,77.2,77.73,79.6
8,1,50.39,48.52,52.85,57.77,58.97,65.39,67.22,72.11,75.76,81.62,84.48,86.48,88.06,86.28,90.79,89.87,93.08
9,1,48.39,46.26,51.83,56.23,52.09,62.83,64.84,70.22,73.09,77.58,79.7,81.75,81.5,84.24,85.42,85.52,87.18
10,1,45.2,44.38,50.61,54.77,51.51,59.85,62.52,67.44,70.42,74.03,77.51,80.02,81.17,83.11,83.77,83.55,83.84
11,1,46,47.27,49.78,54.76,55.49,62.15,64.26,69.34,72.47,76.49,78.49,80.26,82.3,83.7,84.68,85.28,86.61
12,1,41.78,44.67,42.35,48.32,53.61,56.6,59.46,63.25,66.21,71.31,73.7,76.09,78.15,79.66,80.15,81.23,82.68
13,1,45.9,50.46,49.79,53.57,60.24,59.98,62.44,65.76,68.68,72.65,74.56,76.91,77.69,79.85,82.27,82.52,84.74
14,1,44.75,44.11,47.73,,53.22,58.87,60.43,65.67,69.01,73.27,76.53,78.34,81.02,81.72,84.2,85.24,86.56
15,1,42.64,49.42,45.69,47.64,56.61,57.36,59.71,62.82,67.19,71.22,74.38,76.9,79.58,79.88,81.49,81.36,83.24
16,1,48.41,46.49,53.9,59.59,54.94,65.54,65.09,74.87,74.28,79.28,80.87,82.93,85.72,86.87,87.71,87.15,88.75
17,1,41.67,55.34,43.49,47.03,63.86,55.27,57.64,62.91,66.83,72.04,75.69,77.22,78.83,79.54,83.14,83.54,83.94
